iso,country_name,Transport,Clean cooking,Cold storage,Television,Mobile telephone,Water access,Sanitation,Nutrition,Education,Housing,Cooling,Heating
ABW,Aruba,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.33670946263034984,0.5341961101465127,0.06955347918419184,0,0.2635987933577665,0.4372792730366615,0.02577980053656068
AFG,Afghanistan,0.9699524754744532,0.672,0.808,0.493,0.127,0.6240969612097205,0.789546913646647,0.22050347602568648,0.05699180094153839,0.4763338518778195,0.5724294726457528,0.8837209302325582
AGO,Angola,0.9633826852570108,0.502,0.645,0.488,0.373,0.6426925588787863,0.8092220158393376,0.15333328463076387,0.42857077793999454,0.6045417633886204,0.399635955848207,0.12894670742963957
ALB,Albania,0.5965458237565414,0.19999999999999996,0.03599999999999992,0.0159999999999999,0.03099999999999991,0.300555001276268,0.601596691885484,0.03855737500431661,0,0,0.589283951766034,0.23076090525934495
ARE,United Arab Emirates,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.17021959725491786,0.04552056331598608,0.0177818811376229,0,0.30204219814427186,0.30204219814427186,7.446677271625543e-5
ARG,Argentina,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.2623690036256128,0.40682006301898765,0.01625238829832074,0,0.1750357683208522,0.1750357683208522,0.01385894506666613
ARM,Armenia,0.9042061727968338,0.03200000000000003,0.03099999999999991,0.005,0.03700000000000003,0.2056502263118221,0.516836672862311,0.01998738407007354,0.009753379820000005,0.11763882864737552,0.28499702029435703,0.0326531710748596
AUS,Australia,0.4647866215703289,0,0,0,0,0.00819810836027956,0.26118110737746303,0.00386356190105499,0,0,0.20288914470082897,0.02986708848258442
AUT,Austria,0.5637514787774341,0,0,0,0,0.01090574722247095,0.0327864049949601,7.871147722946107e-4,0,0,0,0.04364878798812302
AZE,Azerbaijan,0.9042061727968338,0,0,0,0,0.27531092184859896,0.5984551515452454,0.01069059439068997,0,0.24994726190635047,0.5144161532378271,0.03815349876559099
BDI,Burundi,0.9633826852570108,0.998,0.986,0.952,0.531,0.5916704101948987,0.7552379488944984,0.11485627787848328,0.3826807022,0.6725492485165312,0,0.0482723571403266
BEL,Belgium,0.5637514787774341,0,0,0,0,0.00476813799443087,0.02899813655467098,5.592693750793908e-4,0.03144897459999996,0,0,0.04905603917416267
BEN,Benin,0.9633826852570108,0.95,0.954,0.7130000000000001,0.16099999999999992,0.6663996989511591,0.8343053937399202,0.06076112684455397,0.2204445647999999,0.766563227231291,0.97,0
BFA,Burkina Faso,0.9633826852570108,0.904,0.942,0.75,0.06099999999999994,0.6261518691834999,0.7917211123521793,0.15776837457699494,0.3835150146,0.8451783263068968,0.98,0
BGD,Bangladesh,0.9699524754744532,0.8280000000000001,0.798,0.565,0.115,0.44460540521637393,0.653974106613872,0.12265354572151008,0.01548217769999993,0.4649387640045415,0.955634482206804,0.02209302325581395
BGR,Bulgaria,0.5965458237565414,0,0,0,0,0.03010738375063293,0.39487293862993,0.02456185350182839,0.01884849549999998,0,0.3870765919662129,0.24374310863409815
BHR,Bahrain,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.01016737874794204,0.04000000000000003,3.6637314726769645e-5,0.00822578429999993,0.3053157446271598,0.5805882352941176,0.00234633578477073
BHS,Bahamas,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.23734885366278968,0.3803474528799815,0.3783997687174863,0.04002817500363676,0.24692664318802357,0.24692664318802351,0.00795468091082146
BIH,Bosnia and Herzegovina,0.5965458237565414,0,0,0,0,0.11174872391477908,0.790849459084256,0.00798210699730865,0.023037026343875975,0,0.19835827628431305,0.2275301980949638
BLR,Belarus,0.9042061727968338,0,0,0,0,0.05526684685280703,0.18490026803402992,0.00535364819209551,0,0.16146055215897936,0,0.02728193271934385
BLZ,Belize,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.318899860212457,0.4666326272710501,0.05852475916192781,0,0.1874267594866181,0.873618205732114,0
BOL,Bolivia,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.45805157696054366,0.784869887739034,0.12902713304668914,0.09502876279999996,0.5509248278153258,0.347784043631519,0.03736458002412697
BRA,Brazil,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.3318010561918342,0.5514086871142461,0.01088944748779901,0.04002817500363676,0.2114631075442012,0.567089732015192,0.01768566496786044
BRB,Barbados,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.3034164589181281,0.45025038948672047,0.03179836145454023,0.04002817500363676,0.2646753870100851,0.7608,0
BRN,Brunei Darussalam,0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.23734885366278968,0.3803474528799815,0.0120567674027381,0,0.2925858624500467,0.2925858624500467,0
BTN,Bhutan,0.9699524754744532,0.54,0.6038333333333333,0.3873333333333333,0.08066666666666666,0.6427603485095279,0.6369026893379334,0.00289661336400542,0,0.4481015413568715,0,0.8837209302325582
BWA,Botswana,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.5211279069544639,0.6806003392363467,0.15137468525029338,0,0.4397155533901193,0.65,0.661265166305844
